"Gugliotti News", "Gugliotti News"
"General Configuration", "General Configuration"
"Enabled", "Enabled"
"Is this module enabled?", "Is this module enabled?"
"Latest News List", "Latest News List"
"Displays a list of latest news on desired position", "Displays a list of latest news on desired position"
"Number of news to be displayed", "Number of news to be displayed"
"Latest News", "Latest News"
"Read More", "Read More"
"There are no stories matching the selection.", "There are no stories matching the selection."
"There are no categories matching the selection.", "There are no categories matching the selection."